full_name,html_url,stargazers_count,size_kb,pushed_at,language,created_at,license,forks_count,default_branch,description
crabbly/Print.js,https://github.com/crabbly/Print.js,4543,58520,2026-07-24T23:22:09Z,JavaScript,2016-04-14T21:11:24Z,MIT,687,master,A tiny javascript library to help printing from the web.
simonwep/pickr,https://github.com/simonwep/pickr,4489,6630,2026-07-29T16:24:50Z,JavaScript,2018-05-27T19:39:23Z,MIT,294,master,"🎨 Pickr - A simple, multi-themed, responsive and hackable Color-Picker library. No dependencies, no jQuery. Compatible with all CSS Frameworks e.g. Bootstrap, Materialize. Supports alpha channel, rgba"
siddharthkp/bundlesize,https://github.com/siddharthkp/bundlesize,4473,2050,2026-07-29T12:28:26Z,JavaScript,2017-06-27T08:01:41Z,MIT,176,master,Keep your bundle size in check
oliviertassinari/react-swipeable-views,https://github.com/oliviertassinari/react-swipeable-views,4469,4375,2026-06-22T17:32:35Z,JavaScript,2015-09-22T15:32:21Z,MIT,481,master,A React component for swipeable views. :snowflake:
vanjs-org/van,https://github.com/vanjs-org/van,4427,3991,2026-07-16T18:32:40Z,JavaScript,2023-05-08T05:45:31Z,MIT,109,main,"🍦 VanJS: World's smallest reactive UI framework. Incredibly Powerful, Insanely Small - Everyone can build a useful UI app in an hour."
igrigorik/videospeed,https://github.com/igrigorik/videospeed,4425,1995,2026-09-03T11:51:20Z,JavaScript,2014-03-02T23:08:04Z,MIT,710,master,HTML5 video speed controller (for Google Chrome)
reactjs/react-codemod,https://github.com/reactjs/react-codemod,4410,1559,2026-02-22T23:10:31Z,JavaScript,2015-10-19T20:47:22Z,MIT,297,master,React codemod scripts
dqzboy/Docker-Proxy,https://github.com/dqzboy/Docker-Proxy,4393,2451,2026-09-03T05:22:41Z,JavaScript,2024-06-08T14:06:48Z,Apache-2.0,609,main,自建 Docker 镜像加速与管理服务。零磁盘缓存、可视化面板、支持上游账号认证，支持一键部署Docker、K8s、Quay、Ghcr、Mcr、elastic、nvcr等镜像加速
farzher/fuzzysort,https://github.com/farzher/fuzzysort,4349,7888,2026-08-13T07:14:38Z,JavaScript,2017-08-18T06:43:55Z,MIT,160,master,Fast SublimeText-like fuzzy search for JavaScript.
mdaines/viz-js,https://github.com/mdaines/viz-js,4346,14601,2026-09-02T14:56:15Z,JavaScript,2012-08-24T15:19:20Z,MIT,365,v3,Graphviz in your browser
composio-community/open-claude-cowork,https://github.com/composio-community/open-claude-cowork,4344,42804,2026-05-23T11:52:19Z,JavaScript,2026-01-13T03:14:23Z,MIT,736,master,Open Source version of Claude Cowork with 500+ SaaS app integrations
QasimWani/LeetHub,https://github.com/QasimWani/LeetHub,4343,20317,2026-06-22T19:31:15Z,JavaScript,2020-11-20T01:28:38Z,MIT,1490,main,Automatically sync your leetcode solutions to your github account - top 5 trending GitHub repository
mswnlz/edu-knowlege,https://github.com/mswnlz/edu-knowlege,4325,2098,2026-07-27T13:09:55Z,JavaScript,2025-05-13T06:22:39Z,MIT,859,main,教育各种资料，从幼儿园到小学、中学，涵盖学而思，万维、猿辅导等多个机构，持续增加中
sindresorhus/file-type,https://github.com/sindresorhus/file-type,4324,92611,2026-08-15T01:40:38Z,JavaScript,2014-04-24T10:58:09Z,MIT,395,main,"Detect the file type of a file, stream, or data"
serversideup/amplitudejs,https://github.com/serversideup/amplitudejs,4319,38073,2026-07-02T11:42:15Z,JavaScript,2013-10-07T20:38:20Z,MIT,421,master,"AmplitudeJS: Open Source HTML5 Web Audio Library. Design your web audio player, the way you want. No dependencies required."
tighten/ziggy,https://github.com/tighten/ziggy,4316,3258,2026-08-18T17:29:27Z,JavaScript,2017-08-02T21:07:04Z,MIT,274,2.x,Use your Laravel routes in JavaScript.
yuzutech/kroki,https://github.com/yuzutech/kroki,4306,96387,2026-08-23T03:05:50Z,JavaScript,2019-01-10T13:17:19Z,MIT,312,main,Creates diagrams from textual descriptions!
adaltas/node-csv,https://github.com/adaltas/node-csv,4287,10115,2026-08-05T08:26:46Z,JavaScript,2010-09-25T14:20:57Z,MIT,292,master,Full featured CSV parser with simple api and tested against large datasets.
manuelbieh/geolib,https://github.com/manuelbieh/geolib,4278,1708,2026-04-03T01:52:18Z,JavaScript,2011-08-05T17:53:49Z,MIT,335,master,Zero dependency library to provide some basic geo functions
codeceptjs/CodeceptJS,https://github.com/codeceptjs/CodeceptJS,4242,63523,2026-08-30T10:02:34Z,JavaScript,2015-11-22T01:14:36Z,MIT,756,4.x,Supercharged End 2 End Testing Framework for NodeJS
ternjs/tern,https://github.com/ternjs/tern,4240,3906,2026-05-14T13:48:10Z,JavaScript,2013-03-07T20:29:52Z,MIT,370,master,"A JavaScript code analyzer for deep, cross-editor language support"
ashutosh1919/masterPortfolio,https://github.com/ashutosh1919/masterPortfolio,4222,37978,2026-01-20T03:10:09Z,JavaScript,2020-03-06T16:26:54Z,MIT,1717,master,🔥 The Complete Customizable Software Developer Portfolio Template which lets you showcase your work and provides each and every detail about you as Software Developer.
KilledByAPixel/LittleJS,https://github.com/KilledByAPixel/LittleJS,4173,20491,2026-08-18T15:11:41Z,JavaScript,2021-09-23T21:34:48Z,MIT,231,main,Tiny fast HTML5 game engine with many features and no dependencies.
RetireJS/retire.js,https://github.com/RetireJS/retire.js,4166,9212,2026-08-23T12:25:59Z,JavaScript,2013-08-30T21:43:44Z,Apache-2.0,438,master,scanner detecting the use of JavaScript libraries with known vulnerabilities. Can also generate an SBOM of the libraries it finds.
BuilderIO/skills,https://github.com/BuilderIO/skills,4164,4430,2026-09-03T14:16:03Z,JavaScript,2026-06-10T16:04:20Z,MIT,205,main,Skills for coding agents
Alex-D/Trumbowyg,https://github.com/Alex-D/Trumbowyg,4146,5344,2026-06-20T13:24:18Z,JavaScript,2012-09-29T16:33:10Z,MIT,617,develop,A lightweight and amazing WYSIWYG JavaScript editor under 10kB
app2smile/rules,https://github.com/app2smile/rules,4119,1604,2026-03-04T09:07:36Z,JavaScript,2020-04-22T01:59:24Z,MIT,246,master,iOS App去广告
GoogleChromeLabs/ui-element-samples,https://github.com/GoogleChromeLabs/ui-element-samples,4117,14005,2026-06-10T12:17:22Z,JavaScript,2016-03-03T13:25:41Z,Apache-2.0,723,gh-pages,A collection of prototyped UI elements
s-yadav/react-number-format,https://github.com/s-yadav/react-number-format,4100,5501,2026-03-22T11:07:24Z,JavaScript,2016-04-17T12:48:41Z,MIT,416,master,React component to format numbers in an input or as a text.
patriksimek/vm2,https://github.com/patriksimek/vm2,4095,3134,2026-09-02T22:53:09Z,JavaScript,2014-01-14T11:31:39Z,MIT,329,main,Advanced vm/sandbox for Node.js
0dayCTF/reverse-shell-generator,https://github.com/0dayCTF/reverse-shell-generator,4053,1078,2026-04-27T14:02:11Z,JavaScript,2021-02-27T00:53:13Z,MIT,841,main,Hosted Reverse Shell generator with a ton of functionality. -- (Great for CTFs)
TarekRaafat/autoComplete.js,https://github.com/TarekRaafat/autoComplete.js,4037,15499,2026-06-30T01:02:04Z,JavaScript,2018-11-17T11:35:48Z,Apache-2.0,246,master,Simple autocomplete pure vanilla Javascript library.
