full_name,html_url,stargazers_count,size_kb,pushed_at,language,created_at,license,forks_count,default_branch,description
google/adk-java,https://github.com/google/adk-java,1711,18378,2026-09-03T11:37:37Z,Java,2025-05-05T17:16:25Z,Apache-2.0,415,main,"An open-source, code-first Java toolkit for building, evaluating, and deploying sophisticated AI agents with flexibility and control."
controlsfx/controlsfx,https://github.com/controlsfx/controlsfx,1709,27878,2026-09-03T08:31:02Z,Java,2018-12-18T05:52:08Z,BSD-3-Clause,299,master,High quality UI controls to complement the core JavaFX distribution
morenoh149/react-native-contacts,https://github.com/morenoh149/react-native-contacts,1704,9836,2026-08-11T06:16:10Z,Java,2015-10-16T06:35:30Z,MIT,593,master,React Native Contacts
dingodb/dingo,https://github.com/dingodb/dingo,1701,32648,2026-07-10T11:13:29Z,Java,2021-10-14T02:13:51Z,Apache-2.0,265,develop,"A multi-modal vector database that supports upserts and vector queries using unified SQL (MySQL-Compatible) on structured and unstructured data, while meeting the requirements of high concurrency and "
YeDaxia/JApiDocs,https://github.com/YeDaxia/JApiDocs,1694,8086,2026-03-19T16:05:36Z,Java,2017-01-15T13:30:17Z,Apache-2.0,330,master,A magical api documentation generator without annotation for springboot. 
mateaix/matecloud,https://github.com/mateaix/matecloud,1693,20664,2026-08-30T05:03:24Z,Java,2019-10-30T03:25:43Z,Apache-2.0,470,dev,🔥MateCloud是一款基于Spring Cloud Alibaba的微服务架构。目前已经整合Spring Boot 4.0.7、 SpringCloud 2025、Spring Cloud Alibaba 2025、Spring Security Oauth2、Feign、Dubbo、JetCache、RocketMQ等，支持多租户的低代码平台，Saas平台开发套件
Netflix/metacat,https://github.com/Netflix/metacat,1690,8289,2026-08-28T14:23:25Z,Java,2016-03-19T20:06:34Z,Apache-2.0,287,master,
spring-projects/spring-data-mongodb,https://github.com/spring-projects/spring-data-mongodb,1687,40072,2026-08-31T13:46:43Z,Java,2011-10-13T01:06:55Z,Apache-2.0,1136,main,Provides support to increase developer productivity in Java when using MongoDB. Uses familiar Spring concepts such as a template classes for core API usage and lightweight repository style data access
bazaarvoice/jolt,https://github.com/bazaarvoice/jolt,1675,1081,2026-08-05T20:34:20Z,Java,2013-02-15T04:09:50Z,Apache-2.0,350,master,JSON to JSON transformation library written in Java.
freeotp/freeotp-android,https://github.com/freeotp/freeotp-android,1667,2091,2026-08-18T13:24:15Z,Java,2016-10-24T13:23:25Z,Apache-2.0,347,master,
babyfish-ct/jimmer,https://github.com/babyfish-ct/jimmer,1664,38168,2026-09-03T11:47:32Z,Java,2022-05-03T09:52:05Z,Apache-2.0,153,main,"The most advanced ORM of JVM, for both java & kotlin"
